#evaluations,current best fitness
129,8
193,8
257,8
321,8
385,8
449,16
513,16
577,16
641,16
705,16
769,16
833,16
897,16
961,16
1025,16
1089,16
1153,16
1217,16
1281,16
1345,16
1409,16
1473,16
1537,16
1601,16
1665,16
1729,16
1793,16
1857,16
1921,16
1985,16
2049,16
2113,16
2177,16
2241,16
2305,16
2369,16
2433,16
2497,16
2561,16
2625,16
2689,16
2753,16
2817,16
2881,16
2945,16
3009,16
3073,16
3137,16
3201,16
3265,16
3329,16
3393,16
3457,16
3521,16
3585,16
3649,16
3713,16
3777,16
3841,16
3905,16
3969,16
4033,16
4097,16
4161,16
4225,16
4289,16
4353,16
4417,16
4481,16
4545,16
4609,16
4673,16
4737,16
4801,16
4865,16
4929,16
4993,16
5057,16
5121,16
5185,16
5249,16
5313,16
5377,16
5441,16
5505,16
5569,16
5633,16
5697,16
5761,16
5825,16
5889,16
5953,16
6017,16
6081,16
6145,16
6209,16
6273,16
6337,16
6401,16
6465,16
6529,16
6593,16
6657,16
6721,16
6785,16
6849,16
6913,16
6977,16
7041,16
7105,16
7169,16
7233,16
7297,16
7361,16
7425,16
7489,16
7553,16
7617,16
7681,16
7745,16
7809,16
7873,24
7937,24
8001,24
8065,24
8129,24
8193,24
8257,24
8321,24
8385,24
8449,24
8513,24
8577,24
8641,24
8705,24
8769,24
8833,24
8897,24
8961,24
9025,24
9089,24
9153,24
9217,24
9281,24
9345,24
9409,24
9473,24
9537,24
9601,24
9665,24
9729,24
9793,24
9857,24
9921,24
9985,24
10049,24
10113,24
10177,24
10241,24
10305,24
10369,24
10433,24
10497,24
10561,24
10625,24
10689,24
10753,24
10817,24
10881,24
10945,24
11009,24
11073,24
11137,24
11201,24
11265,24
11329,24
11393,24
11457,24
11521,24
11585,24
11649,24
11713,24
11777,24
11841,24
11905,24
11969,24
12033,24
12097,24
12161,24
12225,24
12289,24
12353,24
12417,24
12481,24
12545,24
12609,24
12673,24
12737,24
12801,24
12865,24
12929,24
12993,24
13057,24
13121,24
13185,24
13249,24
13313,24
13377,24
13441,24
13505,24
13569,24
13633,24
13697,24
13761,24
13825,24
13889,24
13953,24
14017,24
14081,24
14145,24
14209,24
14273,24
14337,24
14401,24
14465,24
14529,24
14593,24
14657,24
14721,24
14785,24
14849,24
14913,24
14977,24
15041,24
15105,24
15169,24
15233,24
15297,24
15361,24
15425,24
15489,24
15553,24
15617,24
15681,24
15745,24
15809,24
15873,24
15937,24
16001,24
16065,24
16129,24
16193,24
16257,24
16321,24
16385,24
16449,24
16513,24
16577,24
16641,24
16705,24
16769,24
16833,24
16897,24
16961,24
17025,24
17089,24
17153,24
17217,24
17281,24
17345,24
17409,24
17473,24
17537,24
17601,24
17665,24
17729,24
17793,24
17857,24
17921,24
17985,24
18049,24
18113,24
18177,24
18241,24
18305,24
18369,24
18433,24
18497,24
18561,24
18625,24
18689,24
18753,24
18817,24
18881,24
18945,24
19009,24
19073,24
19137,24
19201,24
19265,24
19329,24
19393,24
19457,24
19521,24
19585,24
19649,48
19713,48
19777,48
19841,48
19905,48
19969,48
20033,48
20097,48
20161,48
20225,48
20289,48
20353,48
20417,48
20481,48
20545,48
20609,48
20673,48
20737,48
20801,48
20865,48
20929,48
20993,48
21057,48
21121,48
21185,48
21249,48
21313,48
21377,48
21441,48
21505,48
21569,48
21633,48
21697,48
21761,48
21825,48
21889,48
21953,48
22017,48
22081,48
22145,48
22209,48
22273,48
22337,48
22401,48
22465,48
22529,48
22593,48
22657,48
22721,48
22785,48
22849,48
22913,48
22977,48
23041,48
23105,48
23169,48
23233,48
23297,48
23361,48
23425,48
23489,48
23553,48
23617,48
23681,48
23745,48
23809,48
23873,48
23937,48
24001,48
24065,48
24129,48
24193,48
24257,48
24321,48
24385,48
24449,48
24513,48
24577,48
24641,48
24705,48
24769,48
24833,48
24897,48
24961,48
25025,48
25089,48
25153,48
25217,48
25281,48
25345,48
25409,48
25473,48
25537,48
25601,48
25665,48
25729,48
25793,48
25857,48
25921,48
25985,48
26049,48
26113,48
26177,48
26241,48
26305,48
26369,48
26433,48
26497,48
26561,48
26625,48
26689,48
26753,48
26817,48
26881,48
26945,48
27009,48
27073,48
27137,48
27201,48
27265,48
27329,48
27393,48
27457,48
27521,48
27585,48
27649,48
27713,48
27777,48
27841,48
27905,48
27969,48
28033,48
28097,48
28161,48
28225,48
28289,48
28353,48
28417,48
28481,48
28545,48
28609,48
