#evaluations,current best fitness
129,41
193,42
257,42
321,43
385,43
449,43
513,45
577,46
641,46
705,47
769,48
833,48
897,49
961,49
1025,50
1089,51
1153,51
1217,52
1281,54
1345,54
1409,54
1473,55
1537,55
1601,56
1665,56
1729,56
1793,57
1857,57
1921,58
1985,59
2049,59
2113,59
2177,60
2241,60
2305,60
2369,60
2433,61
2497,61
2561,62
2625,62
2689,62
2753,62
2817,62
2881,62
2945,62
3009,63
3073,63
3137,63
3201,63
3265,63
3329,63
3393,63
3457,63
3521,63
3585,63
3649,63
3713,63
3777,63
3841,63
3905,63
3969,63
4033,64
