#evaluations,current best fitness
129,16
257,16
385,24
513,24
641,32
769,32
897,32
1025,32
1153,32
1281,40
1409,40
1537,40
1665,40
1793,40
1921,40
2049,40
2177,40
2305,40
2433,40
2561,40
2689,40
2817,40
2945,40
3073,40
3201,40
3329,40
3457,40
3585,40
3713,40
3841,40
3969,40
4097,40
4225,40
4353,40
4481,40
4609,40
4737,40
4865,40
4993,40
5121,40
5249,40
5377,40
5505,40
5633,40
5761,40
5889,40
6017,40
6145,40
6273,40
6401,40
6529,40
6657,40
6785,40
6913,40
7041,40
7169,40
7297,40
7425,40
7553,40
7681,40
7809,40
7937,40
8065,40
8193,40
8321,40
8449,40
8577,40
8705,40
8833,40
8961,40
9089,40
9217,40
9345,40
9473,40
9601,40
9729,40
9857,40
9985,40
10113,40
10241,40
10369,40
10497,40
10625,40
10753,40
10881,40
11009,40
11137,40
11265,40
11393,40
11521,40
11649,40
11777,40
11905,40
12033,40
12161,40
12289,40
12417,40
12545,40
12673,40
12801,40
12929,40
13057,40
13185,40
13313,40
13441,40
13569,40
13697,40
13825,40
13953,40
14081,40
14209,40
14337,40
14465,40
14593,40
14721,40
14849,40
14977,40
15105,40
15233,48
15361,48
15489,48
15617,48
15745,48
15873,48
16001,48
16129,48
16257,48
16385,48
16513,48
16641,48
16769,48
16897,48
17025,48
17153,48
17281,48
17409,48
17537,48
17665,48
17793,48
17921,48
18049,48
18177,48
18305,48
18433,48
18561,48
18689,48
18817,48
18945,48
19073,48
19201,48
19329,48
19457,48
19585,48
19713,48
19841,48
19969,48
20097,48
20225,48
20353,48
20481,48
20609,48
20737,48
20865,48
20993,48
21121,48
21249,48
21377,48
21505,48
21633,48
21761,48
21889,48
22017,48
22145,48
22273,48
22401,48
22529,48
22657,48
22785,48
22913,48
23041,48
23169,48
23297,48
23425,48
23553,48
23681,48
23809,48
23937,48
24065,48
24193,48
24321,48
24449,48
24577,48
24705,48
24833,48
24961,48
25089,48
25217,48
25345,48
25473,48
25601,48
25729,48
25857,48
25985,48
26113,48
26241,48
26369,48
26497,48
26625,48
26753,48
26881,48
27009,48
27137,48
27265,48
27393,48
27521,48
27649,48
27777,48
27905,48
28033,48
28161,48
28289,48
28417,48
28545,48
28673,48
28801,48
28929,48
29057,48
29185,48
29313,48
29441,48
29569,48
29697,48
29825,48
29953,48
30081,48
30209,48
30337,48
30465,48
30593,48
30721,48
30849,48
30977,48
31105,48
31233,48
31361,48
31489,48
31617,48
31745,48
31873,48
32001,48
32129,48
32257,48
32385,48
32513,48
32641,48
32769,48
32897,48
33025,48
33153,48
33281,48
33409,48
33537,48
33665,48
33793,48
33921,48
34049,48
34177,48
34305,48
34433,48
34561,48
34689,48
34817,48
34945,48
35073,48
35201,48
35329,48
35457,48
35585,48
35713,48
35841,48
35969,48
36097,48
36225,48
36353,48
36481,48
36609,48
36737,48
36865,48
36993,48
37121,48
37249,48
37377,48
37505,48
37633,48
37761,48
37889,48
38017,48
38145,48
38273,48
38401,48
38529,48
38657,48
38785,48
38913,48
39041,48
39169,48
39297,48
39425,48
39553,48
39681,48
39809,48
39937,48
40065,48
40193,48
40321,48
40449,48
40577,48
40705,48
40833,48
40961,48
41089,48
41217,48
41345,48
41473,48
41601,48
41729,48
41857,48
41985,48
42113,48
42241,48
42369,48
42497,48
42625,48
42753,48
42881,48
43009,48
43137,48
43265,48
43393,48
43521,56
43649,56
43777,56
43905,56
44033,56
44161,56
44289,56
44417,56
44545,56
44673,56
44801,56
44929,56
45057,56
45185,56
45313,56
45441,56
45569,56
45697,56
45825,56
45953,56
46081,56
46209,56
46337,56
46465,56
46593,56
46721,56
46849,56
46977,56
47105,56
47233,56
47361,56
47489,56
47617,56
47745,56
47873,56
48001,56
48129,56
48257,56
48385,56
48513,56
48641,56
48769,56
48897,56
49025,56
49153,56
49281,56
49409,56
49537,56
49665,56
49793,56
49921,56
50049,56
50177,56
50305,56
50433,56
50561,56
50689,56
50817,56
50945,56
51073,56
51201,56
51329,56
51457,56
51585,56
51713,56
51841,56
51969,56
52097,56
52225,56
52353,56
52481,56
52609,56
52737,56
52865,56
52993,56
53121,56
53249,56
53377,56
53505,56
53633,56
53761,56
53889,56
54017,56
54145,56
54273,56
54401,56
54529,56
54657,56
54785,56
54913,56
55041,56
55169,56
55297,56
55425,56
55553,56
55681,128
