#evaluations,current best fitness
129,8
257,16
385,16
513,16
641,16
769,16
897,16
1025,16
1153,16
1281,16
1409,16
1537,16
1665,16
1793,16
1921,16
2049,16
2177,16
2305,16
2433,16
2561,16
2689,16
2817,16
2945,16
3073,16
3201,16
3329,16
3457,16
3585,16
3713,16
3841,16
3969,16
4097,16
4225,16
4353,16
4481,16
4609,16
4737,16
4865,16
4993,16
5121,16
5249,16
5377,16
5505,16
5633,16
5761,16
5889,16
6017,16
6145,16
6273,16
6401,16
6529,16
6657,16
6785,16
6913,16
7041,16
7169,16
7297,16
7425,16
7553,16
7681,16
7809,16
7937,16
8065,16
8193,16
8321,16
8449,16
8577,16
8705,16
8833,16
8961,16
9089,16
9217,16
9345,16
9473,16
9601,16
9729,24
9857,24
9985,24
10113,24
10241,24
10369,24
10497,24
10625,24
10753,24
10881,24
11009,24
11137,24
11265,24
11393,24
11521,24
11649,24
11777,24
11905,24
12033,24
12161,24
12289,24
12417,24
12545,24
12673,24
12801,24
12929,24
13057,24
13185,24
13313,24
13441,24
13569,24
13697,24
13825,24
13953,24
14081,24
14209,32
14337,32
14465,32
14593,32
14721,32
14849,32
14977,32
15105,32
15233,32
15361,32
15489,32
15617,32
15745,32
15873,32
16001,32
16129,32
16257,32
16385,32
16513,32
16641,32
16769,32
16897,32
17025,32
17153,32
17281,32
17409,32
17537,32
17665,32
17793,48
17921,48
18049,48
18177,56
18305,56
18433,56
18561,56
18689,56
18817,56
18945,56
19073,56
19201,56
19329,56
19457,56
19585,56
19713,56
19841,56
19969,56
20097,56
20225,56
20353,56
20481,56
20609,56
20737,56
20865,56
20993,56
21121,56
21249,56
21377,56
21505,56
21633,56
21761,56
21889,56
22017,56
22145,56
22273,56
22401,56
22529,56
22657,56
22785,56
22913,56
23041,56
23169,56
23297,56
23425,56
23553,56
23681,56
23809,56
23937,56
24065,56
24193,56
24321,56
24449,56
24577,56
24705,56
24833,56
24961,56
25089,56
25217,56
25345,56
25473,56
25601,80
25729,80
25857,80
25985,80
26113,80
26241,80
26369,80
26497,80
26625,80
26753,80
26881,80
27009,80
27137,80
27265,80
27393,80
27521,80
27649,80
27777,80
27905,80
28033,80
